epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.882146,0.919,3.90669,0.97646,0,0,0,0,0.97122,3.77145,1.2295,0.09901,1e-05,1e-05
2,1.71381,1.4045,3.8136,1.21531,0,0,0,0,1.02502,3.95236,1.40725,0.0970152,1.515e-05,1.515e-05
